Publishing_Year;Book_Name;Author;Language_Code;Author_Rating;Average_Rating;Rating_Count;Gross_Sales_EUR;Publisher;Adapted_to_Film;Genre
1975;Beowulf;Unknown, Seamus Heaney;en;Novice;Mrz 42;155903;34160.0;Harper;1.0;Classic
1987;Batman: Year One;Frank Miller, David Mazzucchelli, Richmond Lewis, Dennis O'Neil;en;Intermediate;Apr 23;145267;12437.5;Harper;1.0;Graphic Novel
2015;Go Set a Watchman;Harper Lee;en;Novice;Mrz 31;138669;47795.0;Amazon Digital Services,  Inc,;0.0;Historical Fiction
2008;When You Are Engulfed in Flames;David Sedaris;en;Intermediate;04. Apr;150898;41250.0;Hachette;0.0;Nonfiction
2011;Daughter of Smoke & Bone;Laini Taylor;en;Intermediate;04. Apr;198283;37952.5;Penguin;1.0;Fantasy
2015;Red Queen;Victoria Aveyard;en;Intermediate;04. Aug;83354;19960.0;Amazon Digital Services,  Inc,;0.0;Fantasy
2011;The Power of Habit;Charles Duhigg;en;Intermediate;04. Mrz;155977;27491670.0;Harper;0.0;Nonfiction
1994;Midnight in the Garden of Good and Evil;John Berendt;en;Intermediate;03. Sep;167997;26182.0;Hachette;1.0;Nonfiction
2012;Hopeless;Colleen Hoover;en;Intermediate;Apr 34;189938;26093670.0;Harper;0.0;Romance
2004;The Truth About Forever;Sarah Dessen;en;Intermediate;Apr 13;179415;17964.0;Amazon Digital Services,  Inc,;0.0;Romance
1954;The horse and his boy;C,S, Lewis;en;Intermediate;03. Sep;189671;21564.0;Penguin;1.0;Fantasy
2010;Last Sacrifice ;Richelle Mead;en;Famous;Apr 42;206792;3431.34;Amazon Digital Services,  Inc,;0.0;Fantasy
1935;Little House on the Prairie;Laura Ingalls Wilder, Garth Williams;en;Intermediate;Apr 18;195424;6897340.0;Harper;1.0;Historical Fiction
1974;Zen and the Art of Motorcycle Maintenance;Robert M, Pirsig;en;Intermediate;Mrz 76;139411;16297.34;Amazon Digital Services,  Inc,;0.0;Nonfiction
2006;Pretty Little Liars;Sara Shepard;en;Intermediate;03. Sep;156328;15968.0;Amazon Digital Services,  Inc,;1.0;Thriller
1948;Corduroy;Don Freeman;en;Intermediate;Apr 28;160860;6234670.0;Simon and Schuster Digital Sales Inc;1.0;Children’s
2006;The Omnivore's Dilemma;Michael Pollan;en;Intermediate;Apr 17;133271;3035.34;Amazon Digital Services,  Inc,;0.0;Nonfiction
2013;Life After Life;Kate Atkinson;en;Intermediate;Mrz 74;138454;11702.67;Amazon Digital Services,  Inc,;1.0;Historical Fiction
2000;The Rescue;Nicholas Sparks;en;Intermediate;04. Jan;142092;8569.34;Amazon Digital Services,  Inc,;0.0;Romance
1991;Needful Things;Stephen King;en;Intermediate;Mrz 87;153821;2772.0;Amazon Digital Services,  Inc,;1.0;Thriller
