Publishing_Year;Book_Name;Author;Language_Code;Author_Rating;Book_Average_Rating;Book_Ratings_Count;Gross_sales/ Bruttoumsatz;Publisher_Revenue;Publisher;Verfilmt;Genre_standardized
1975.0;Beowulf;Unknown, Seamus Heaney;en;Novice;3.42;155903.0;34160.0;20496.0;Harper;Ja;Classic
1987.0;Batman: Year One;Frank Miller, David Mazzucchelli, Richmond Lewis, Dennis O'Neil;en;Intermediate;4.23;145267.0;12437.5;7462.5;Harper;Ja ;Graphic Novel
2015.0;Go Set a Watchman;Harper Lee;en;Novice;3.31;138669.0;47795.0;28677.0;Amazon Digital Services,  Inc,;Nein;Historical Fiction
2008.0;When You Are Engulfed in Flames;David Sedaris;en;Intermediate;4.04;150898.0;41250.0;24750.0;Hachette;Nein;Nonfiction
2011.0;Daughter of Smoke & Bone;Laini Taylor;en;Intermediate;4.04;198283.0;37952.5;22771.5;Penguin;Ja;Fantasy
2015.0;Red Queen;Victoria Aveyard;en;Intermediate;4.08;83354.0;19960.0;0.0;Amazon Digital Services,  Inc,;Nein;Fantasy
2011.0;The Power of Habit;Charles Duhigg;en;Intermediate;4.03;155977.0;27491.67;16495002.0;Harper;Nein;Nonfiction
1994.0;Midnight in the Garden of Good and Evil;John Berendt;en;Intermediate;3.9;167997.0;26182.0;15709.2;Hachette;Ja;Nonfiction
2012.0;Hopeless;Colleen Hoover;en;Intermediate;4.34;189938.0;26093.67;15656202.0;Harper;Nein;Romance
1905.0;A Little Princess;Frances Hodgson Burnett, Nancy Bond;en;Intermediate;4.2;199872.0;23792.34;14275404.0;Random;Ja;Children’s
2004.0;The Truth About Forever;Sarah Dessen;en;Intermediate;4.13;179415.0;17964.0;0.0;Amazon Digital Services,  Inc,;Nein;Romance
1954.0;The horse and his boy;C,S, Lewis;en;Intermediate;3.9;189671.0;21564.0;12938.4;Penguin;Ja;Fantasy
2010.0;Last Sacrifice ;Richelle Mead;en;Famous;4.42;206792.0;3431.34;0.0;Amazon Digital Services,  Inc,;Nein;Fantasy
1935.0;Little House on the Prairie;Laura Ingalls Wilder, Garth Williams;en;Intermediate;4.18;195424.0;6897.34;4138404.0;Harper;Ja;Historical Fiction
1922.0;The Velveteen Rabbit;Margery Williams Bianco, William   Nicholson;en;Intermediate;4.29;173469.0;21797.82;13078692.0;Random;Ja;Children’s
1974.0;Zen and the Art of Motorcycle Maintenance;Robert M, Pirsig;en;Intermediate;3.76;139411.0;16297.34;0.0;Amazon Digital Services,  Inc,;Nein;Nonfiction
