Publishing_Year;Book_Name;Author;Language_Code;Author_Rating;Book_Average_Rating;Book_Ratings_Count;Genre;Gross_Sales;Publisher_Revenue_Verlagumsatz;Sale_Price;Sale_Rank;Publisher;Units_Sold;Verfilmt?;;
1975;Beowulf;Unknown, Seamus Heaney;en-US;Novice;15401;155903;genre fiction;34160.0;20496.0;32.234,00;1;HarperCollins Publishers;7000;Ja;;
1987;Batman: Year One;Frank Miller, David Mazzucchelli, Richmond Lewis, Dennis O'Neil;eng;Intermediate;45017;145267;genre fiction;12437.5;7462.5;36.161,00;2;HarperCollins Publishers;6250;Ja (animiert);;
2015;Go Set a Watchman;Harper Lee;eng;Novice;11383;138669;genre fiction;47795.0;28677.0;25.416,00;3;Amazon Digital Services,  Inc.;5500;Nein;;
2008;When You Are Engulfed in Flames;David Sedaris;en-US;Intermediate;45751;150898;fiction;41250.0;24750.0;45.784,00;3;Hachette Book Group;5500;Nein;;
2011;Daughter of Smoke & Bone;Laini Taylor;eng;Intermediate;45751;198283;genre fiction;37952.5;22771.5;36.342,00;4;Penguin Group (USA) LLC;4750;In Entwicklung;;
2015;Red Queen;Victoria Aveyard;eng;Intermediate;45873;83354;genre fiction;19960.0;0.0;36.251,00;5;Amazon Digital Services,  Inc.;4000;Nein;;
2011;The Power of Habit;Charles Duhigg;eng;Intermediate;45720;155977;genre fiction;27491.67;16.495.002;36.312,00;6;HarperCollins Publishers;3933;Nein;;
1994;Midnight in the Garden of Good and Evil;John Berendt;eng;Intermediate;45903;167997;nonfiction;26182.0;15709.2;32.660,00;8;Hachette Book Group;3800;Ja;;
2012;Hopeless;Colleen Hoover;eng;Intermediate;12510;189938;genre fiction;26093.67;15.656.202;36.312,00;9;HarperCollins Publishers;3733;Nein;;
1905;A Little Princess;Frances Hodgson Burnett, Nancy Bond;eng;Intermediate;45692;199872;genre fiction;23792.34;14.275.404;18.050,00;10;Random House LLC;3666;Ja;;
2004;The Truth About Forever;Sarah Dessen;en-US;Intermediate;41365;179415;genre fiction;17964.0;0.0;36.251,00;11;Amazon Digital Services,  Inc.;3600;Nein;;
1954;The horse and his boy;C.S. Lewis;eng;Intermediate;45903;189671;fiction;21564.0;12938.4;36.281,00;11;Penguin Group (USA) LLC;3600;Ja;;
2010;Last Sacrifice ;Richelle Mead;eng;Famous;15432;206792;genre fiction;3431.34;0.0;0.99;13;Amazon Digital Services,  Inc.;3466;Nein;;
1935;Little House on the Prairie;Laura Ingalls Wilder, Garth Williams;eng;Intermediate;43191;195424;genre fiction;6897.34;4.138.404;36.161,00;13;HarperCollins Publishers;3466;Ja (TV-Serie);;
1922;The Velveteen Rabbit;Margery Williams Bianco, William   Nicholson;eng;Intermediate;47209;173469;genre fiction;21797.82;13.078.692;19.876,00;15;Random House LLC;3333;Ja;;
1974;Zen and the Art of Motorcycle Maintenance;Robert M. Pirsig;eng;Intermediate;27820;139411;genre fiction;16297.34;0.0;36.251,00;16;Amazon Digital Services,  Inc.;3266;Nein (geplant);;
1897;The War of the Worlds;H.G. Wells, Arthur C. Clarke;eng;Intermediate;45872;159752;genre fiction;15968.0;0.0;36.251,00;17;Amazon Digital Services,  Inc.;3200;Ja;;
2006;Pretty Little Liars;Sara Shepard;en-US;Intermediate;45903;156328;genre fiction;15968.0;0.0;36.251,00;17;Amazon Digital Services,  Inc.;3200;Ja (TV-Serie);;
1948;Corduroy;Don Freeman;en-US;Intermediate;46844;160860;genre fiction;6234.67;3.740.802;36.161,00;18;Simon and Schuster Digital Sales Inc;3133;Ja;;
2006;The Omnivore's Dilemma;Michael Pollan;eng;Intermediate;42826;133271;genre fiction;3035.34;0.0;0.99;19;Amazon Digital Services,  Inc.;3066;Nein;;
2013;Life After Life;Kate Atkinson;eng;Intermediate;27089;138454;genre fiction;11702.67;0.0;36.220,00;21;Amazon Digital Services,  Inc.;2933;In Entwicklung;;
2000;The Rescue;Nicholas Sparks;en-US;Intermediate;45661;142092;genre fiction;8569.34;0.0;36.192,00;22;Amazon Digital Services,  Inc.;2866;Nein;;
1991;Needful Things;Stephen King;;Intermediate;31837;153821;genre fiction;2772.0;0.0;0.99;23;Amazon Digital Services,  Inc.;2800;Ja;;
1993;Voyager;Diana Gabaldon;eng;Intermediate;13971;157395;genre fiction;8171.67;0.0;36.192,00;24;Amazon Digital Services,  Inc.;2733;Ja (TV-Serie);;
1996;;Kenneth Branagh, William Shakespeare;eng;Intermediate;45995;156869;genre fiction;2639.34;1.583.604;0.99;25;Amazon Digital Services,  Inc.;2666;;;
1981;Cujo;Stephen King;spa;Intermediate;23802;158215;genre fiction;7774.0;0.0;36.192,00;26;Amazon Digital Services,  Inc.;2600;Ja;;
