Publishing_Year,Book_Name,Author,Language_Code,Author_Rating,Book_Average_Rating,Book_Ratings_Count,Genre,Gross_Sales,Publisher_Revenue,Sale_Price,Sale_Rank,Publisher,Units_Sold
Publishing_Year,Book_Name,Author,Language_Code,Author_Rating,,,Genre,,,,,Publisher,
2008,When You Are Engulfed in Flames,David Sedaris,en-US,Intermediate,4.04,150898.0,fiction,41250.0,24750.0,7.5,3.0,Hachette Book Group,5500.0
2011,Daughter of Smoke & Bone,Laini Taylor,eng,Intermediate,4.04,198283.0,genre fiction,37952.5,22771.5,7.99,4.0,Penguin Group (USA) LLC,4750.0
2011,The Power of Habit,Charles Duhigg,eng,Intermediate,4.03,155977.0,genre fiction,27491.67,16495.002,6.99,6.0,HarperCollins Publishers,3933.0
1994,Midnight in the Garden of Good and Evil,John Berendt,eng,Intermediate,3.9,167997.0,nonfiction,26182.0,15709.2,6.89,8.0,Hachette Book Group,3800.0
2012,Hopeless,Colleen Hoover,eng,Intermediate,4.34,189938.0,genre fiction,26093.67,15656.202,6.99,9.0,HarperCollins Publishers,3733.0
1954,The horse and his boy,C.S. Lewis,eng,Intermediate,3.9,189671.0,fiction,21564.0,12938.4,5.99,11.0,Penguin Group (USA) LLC,3600.0
1948,Corduroy,Don Freeman,en-US,Intermediate,4.28,160860.0,genre fiction,6234.67,3740.802,1.99,18.0,Simon and Schuster Digital Sales Inc,3133.0
1993,The Virgin Suicides,Jeffrey Eugenides,eng,Intermediate,3.83,159249.0,genre fiction,26904.06,16142.436,10.91,28.0,Penguin Group (USA) LLC,2466.0
2003,Club Dead,Charlaine Harris,en-GB,Intermediate,4.03,181323.0,genre fiction,13178.0,7906.8,5.99,32.0,HarperCollins Publishers,2200.0
2006,It's Kind of a Funny Story,Ned Vizzini,en-US,Intermediate,4.14,161001.0,nonfiction,2045.34,1227.204,0.99,34.0,HarperCollins Publishers,2066.0
2007,,Brandon Sanderson,eng,Intermediate,4.35,150736.0,genre fiction,17980.0,10788.0,8.99,35.0,Random House LLC,2000.0
1995,High Fidelity,Nick Hornby,eng,Intermediate,3.94,134849.0,genre fiction,20309.55,12185.73,10.65,41.0,Random House LLC,1907.0
2000,Kitchen Confidential: Adventures in the Culinary Underbelly,Anthony Bourdain,eng,Intermediate,4.0,134177.0,genre fiction,11057.54,6634.524,5.99,45.0,HarperCollins Publishers,1846.0
1960,Are You My Mother?,P.D. Eastman,eng,Intermediate,4.16,174204.0,genre fiction,10596.31,6357.786,5.99,50.0,Penguin Group (USA) LLC,1769.0
