Publishing_Year,Book_Name,Author,Language_Code,Author_Rating,Book_Average_Rating,Book_Ratings_Count,Genre,Gross_Sales,Publisher_Revenue,Sale_Price,Sale_Rank,Publisher,Units_Sold
2014,Nicht Bestseller Buch 1,Autor 107,DE,2.46,1.87,2,Thriller,978,8915.0,19.52,444997,Verlag B,978
2003,Nicht Bestseller Buch 2,Autor 103,DE,3.1,3.43,14,Biografie,1632,19519.92,9.09,569937,Verlag A,1632
2000,Nicht Bestseller Buch 3,Autor 118,FR,3.11,2.99,10,Thriller,1304,18414.26,9.69,366645,Verlag C,1304
2007,Nicht Bestseller Buch 4,Autor 149,FR,2.23,1.61,5,Sachbuch,583,7359.8,18.26,934480,Selbstverlag,583
2013,Nicht Bestseller Buch 5,Autor 149,FR,2.4,1.96,7,Sachbuch,1863,23057.23,6.15,756550,Verlag C,1863
2013,Nicht Bestseller Buch 6,Autor 129,ES,2.47,1.81,0,Science Fiction,823,11476.72,7.11,914569,Verlag A,823
2006,Nicht Bestseller Buch 7,Autor 95,ES,2.6,2.33,10,Fantasy,102,1363.25,13.03,667233,Verlag C,102
2009,Nicht Bestseller Buch 8,Autor 130,DE,3.32,2.53,14,Fantasy,989,12202.2,14.24,569105,Verlag A,989
2017,Nicht Bestseller Buch 9,Autor 105,DE,2.58,2.17,13,Roman,1626,19367.87,9.8,329363,Verlag C,1626
2015,Nicht Bestseller Buch 10,Autor 158,FR,2.25,1.61,7,Sachbuch,768,6944.67,9.79,956251,Verlag C,768
2016,Nicht Bestseller Buch 11,Autor 17,ES,2.13,2.44,8,Thriller,1099,14070.02,23.9,687753,Verlag A,1099
2018,Nicht Bestseller Buch 12,Autor 127,FR,2.56,3.07,15,Fantasy,498,4221.35,11.62,507613,Verlag C,498
2005,Nicht Bestseller Buch 13,Autor 105,EN,3.39,2.09,15,Sachbuch,223,2029.93,9.69,515966,Verlag C,223
2023,Nicht Bestseller Buch 14,Autor 134,FR,2.11,2.57,7,Fantasy,1666,13454.1,19.39,526565,Verlag A,1666
2017,Nicht Bestseller Buch 15,Autor 76,EN,2.42,2.49,7,Roman,1469,11205.67,17.31,347412,Verlag C,1469
2012,Nicht Bestseller Buch 16,Autor 90,FR,2.98,3.23,5,Fantasy,1591,14576.05,15.61,845204,Verlag A,1591
2014,Nicht Bestseller Buch 17,Autor 119,DE,2.43,2.47,0,Fantasy,607,8519.22,24.5,746039,Verlag C,607
2012,Nicht Bestseller Buch 18,Autor 29,DE,3.14,1.55,1,Biografie,1498,16026.19,12.77,413597,Verlag B,1498
