Titel,Autor:in,Jahr,Erwartung,Warum langsam verkauft?
American Gods,Neil Gaiman,2001,"Kult-Autor, hohe Vorschüsse",Erst später durch TV-Serie beliebt
The Goldfinch,Donna Tartt,2013,"Pulitzerpreis, viel Hype","Zu lang, nicht zugänglich für breite Masse"
A Little Life,Hanya Yanagihara,2015,Kritikerliebling,"Extrem schwere Themen, nicht für Mainstream"
The Secret History,Donna Tartt,1992,Literarisches Debüt,"Langsamer Start, erst Jahre später Kultstatus"
The Luminaries,Eleanor Catton,2013,Booker-Prize-Gewinnerin,"Komplexer Aufbau, geringe Leserbindung"
The Overstory,Richard Powers,2018,Literarisch gefeiert,Zu anspruchsvoll für breites Publikum
Lincoln in the Bardo,George Saunders,2017,Bekannt aus New Yorker,"Ungewöhnlicher Stil, schwer zugänglich"
The Every,Dave Eggers,2021,Fortsetzung von „The Circle“,"Weniger relevant, schwächeres Echo"
"Beautiful World, Where Are You",Sally Rooney,2021,Autorin der Stunde,"Verkäufe unter Erwartung, zwiegespaltene Rezeption"
Night Film,Marisha Pessl,2013,Hohes Marketingbudget,Nicht überzeugend für Thriller-Fans
Milk and Honey,Rupi Kaur,2014,Viral auf Instagram,Schwache Präsenz im traditionellen Buchhandel
The Testaments,Margaret Atwood,2019,Fortsetzung des Klassikers,"Hohes Interesse zu Beginn, dann starker Abfall"
