Publishing_Year,Book_Name,Author,Language_Code,Author_Rating,Book_Average_Rating,Book_Ratings_Count,Genre,Gross_Sales,Publisher_Revenue,Sale_Price,Sale_Rank,Publisher,Units_Sold
1975.0,Beowulf,"Unknown, Seamus Heaney",en-US,Novice,3.42,155903,genre fiction,34160.0,20496.0,4.88,1,HarperCollins Publishers,7000
1987.0,Batman: Year One,"Frank Miller, David Mazzucchelli, Richmond Lewis, Dennis O'Neil",eng,Intermediate,4.23,145267,genre fiction,12437.5,7462.5,1.99,2,HarperCollins Publishers,6250
2015.0,Go Set a Watchman,Harper Lee,eng,Novice,3.31,138669,genre fiction,47795.0,28677.0,8.69,3,"Amazon Digital Services,  Inc.",5500
2008.0,When You Are Engulfed in Flames,David Sedaris,en-US,Intermediate,4.04,150898,fiction,41250.0,24750.0,7.5,3,Hachette Book Group,5500
2011.0,Daughter of Smoke & Bone,Laini Taylor,eng,Intermediate,4.04,198283,genre fiction,37952.5,22771.5,7.99,4,Penguin Group (USA) LLC,4750
2015.0,Red Queen,Victoria Aveyard,eng,Intermediate,4.08,83354,genre fiction,19960.0,0.0,4.99,5,"Amazon Digital Services,  Inc.",4000
2011.0,The Power of Habit,Charles Duhigg,eng,Intermediate,4.03,155977,genre fiction,27491.67,16495.002,6.99,6,HarperCollins Publishers,3933
1994.0,Midnight in the Garden of Good and Evil,John Berendt,eng,Intermediate,3.9,167997,nonfiction,26182.0,15709.2,6.89,8,Hachette Book Group,3800
2012.0,Hopeless,Colleen Hoover,eng,Intermediate,4.34,189938,genre fiction,26093.67,15656.202,6.99,9,HarperCollins Publishers,3733
1905.0,A Little Princess,"Frances Hodgson Burnett, Nancy Bond",eng,Intermediate,4.2,199872,genre fiction,23792.34,14275.404,6.49,10,Random House LLC,3666
2004.0,The Truth About Forever,Sarah Dessen,en-US,Intermediate,4.13,179415,genre fiction,17964.0,0.0,4.99,11,"Amazon Digital Services,  Inc.",3600
1954.0,The horse and his boy,C.S. Lewis,eng,Intermediate,3.9,189671,fiction,21564.0,12938.4,5.99,11,Penguin Group (USA) LLC,3600
2010.0,Last Sacrifice ,Richelle Mead,eng,Famous,4.42,206792,genre fiction,3431.34,0.0,0.99,13,"Amazon Digital Services,  Inc.",3466
1935.0,Little House on the Prairie,"Laura Ingalls Wilder, Garth Williams",eng,Intermediate,4.18,195424,genre fiction,6897.34,4138.404,1.99,13,HarperCollins Publishers,3466
1922.0,The Velveteen Rabbit,"Margery Williams Bianco, William   Nicholson",eng,Intermediate,4.29,173469,genre fiction,21797.82,13078.692,6.54,15,Random House LLC,3333
1974.0,Zen and the Art of Motorcycle Maintenance,Robert M. Pirsig,eng,Intermediate,3.76,139411,genre fiction,16297.34,0.0,4.99,16,"Amazon Digital Services,  Inc.",3266
1897.0,The War of the Worlds,"H.G. Wells, Arthur C. Clarke",eng,Intermediate,3.8,159752,genre fiction,15968.0,0.0,4.99,17,"Amazon Digital Services,  Inc.",3200
2006.0,Pretty Little Liars,Sara Shepard,en-US,Intermediate,3.9,156328,genre fiction,15968.0,0.0,4.99,17,"Amazon Digital Services,  Inc.",3200
1948.0,Corduroy,Don Freeman,en-US,Intermediate,4.28,160860,genre fiction,6234.67,3740.802,1.99,18,Simon and Schuster Digital Sales Inc,3133
2006.0,The Omnivore's Dilemma,Michael Pollan,eng,Intermediate,4.17,133271,genre fiction,3035.34,0.0,0.99,19,"Amazon Digital Services,  Inc.",3066
2013.0,Life After Life,Kate Atkinson,eng,Intermediate,3.74,138454,genre fiction,11702.67,0.0,3.99,21,"Amazon Digital Services,  Inc.",2933
2000.0,The Rescue,Nicholas Sparks,en-US,Intermediate,4.1,142092,genre fiction,8569.34,0.0,2.99,22,"Amazon Digital Services,  Inc.",2866
1991.0,Needful Things,Stephen King,,Intermediate,3.87,153821,genre fiction,2772.0,0.0,0.99,23,"Amazon Digital Services,  Inc.",2800
1993.0,Voyager,Diana Gabaldon,eng,Intermediate,4.38,157395,genre fiction,8171.67,0.0,2.99,24,"Amazon Digital Services,  Inc.",2733
1996.0,,"Kenneth Branagh, William Shakespeare",eng,Intermediate,4.12,156869,genre fiction,2639.34,1583.604,0.99,25,"Amazon Digital Services,  Inc.",2666
1981.0,Cujo,Stephen King,spa,Intermediate,3.65,158215,genre fiction,7774.0,0.0,2.99,26,"Amazon Digital Services,  Inc.",2600
1993.0,The Virgin Suicides,Jeffrey Eugenides,eng,Intermediate,3.83,159249,genre fiction,26904.06,16142.436,10.91,28,Penguin Group (USA) LLC,2466
2004.0,Dead to the World,Charlaine Harris,eng,Intermediate,4.13,199572,genre fiction,2376.0,0.0,0.99,29,"Amazon Digital Services,  Inc.",2400
1891.0,Tess of the d'Urbervilles: A Pure Woman Faithfully Presented,"Thomas Hardy, Tim Dolin, Margaret R. Higonnet",eng,Intermediate,3.77,171599,nonfiction,9576.0,5745.6,3.99,29,Hachette Book Group,2400
1856.0,Madame Bovary,"Gustave Flaubert, Margaret Mauldon, Malcolm Bowie, Mark Overstall",eng,Intermediate,3.64,158877,genre fiction,9308.67,0.0,3.99,30,"Amazon Digital Services,  Inc.",2333
1961.0,The Phantom Tollbooth,"Norton Juster, Jules Feiffer",en-US,Intermediate,4.22,178432,genre fiction,4509.34,0.0,1.99,31,"Amazon Digital Services,  Inc.",2266
2010.0,The Way of Kings,Brandon Sanderson,eng,Famous,4.64,144822,genre fiction,2178.0,0.0,0.99,32,"Amazon Digital Services,  Inc.",2200
2003.0,Club Dead,Charlaine Harris,en-GB,Intermediate,4.03,181323,genre fiction,13178.0,7906.8,5.99,32,HarperCollins Publishers,2200
2006.0,It's Kind of a Funny Story,Ned Vizzini,en-US,Intermediate,4.14,161001,nonfiction,2045.34,1227.204,0.99,34,HarperCollins Publishers,2066
2007.0,,Brandon Sanderson,eng,Intermediate,4.35,150736,genre fiction,17980.0,10788.0,8.99,35,Random House LLC,2000
2015.0,After You,Jojo Moyes,eng,Intermediate,3.7,99342,genre fiction,1964.16,0.0,0.99,36,"Amazon Digital Services,  Inc.",1984
2011.0,The Language of Flowers,Vanessa Diffenbaugh,eng,Intermediate,4.07,140076,genre fiction,1964.16,1178.496,0.99,36,"Amazon Digital Services,  Inc.",1984
1986.0,Batman: The Dark Knight Returns,"Frank Miller, Klaus Janson, Lynn Varley",eng,Intermediate,4.25,135979,genre fiction,1949.31,0.0,0.99,37,"Amazon Digital Services,  Inc.",1969
2005.0,The Angel Experiment,James Patterson,eng,Intermediate,4.08,172302,genre fiction,1949.31,0.0,0.99,37,"Amazon Digital Services,  Inc.",1969
1995.0,High Fidelity,Nick Hornby,eng,Intermediate,3.94,134849,genre fiction,20309.55,12185.73,10.65,41,Random House LLC,1907
2003.0,The Guardian,Nicholas Sparks,en-US,Intermediate,4.14,136427,genre fiction,1873.08,0.0,0.99,42,"Amazon Digital Services,  Inc.",1892
2003.0,Oryx and Crake,Margaret Atwood,eng,Intermediate,4.0,151500,genre fiction,7485.24,0.0,3.99,43,"Amazon Digital Services,  Inc.",1876
1998.0,"Men Are from Mars, Women Are from Venus Book of Days: 365 Inspirations to Enrich Your Relationships",John Gray,en-US,Intermediate,3.52,113915,genre fiction,3703.39,2222.034,1.99,44,"Amazon Digital Services,  Inc.",1861
2000.0,Kitchen Confidential: Adventures in the Culinary Underbelly,Anthony Bourdain,eng,Intermediate,4.0,134177,genre fiction,11057.54,6634.524,5.99,45,HarperCollins Publishers,1846
1999.0,Timeline,Michael Crichton,en-US,Intermediate,3.83,148563,genre fiction,12791.7,7675.02,6.99,46,"Amazon Digital Services,  Inc.",1830
1759.0,Candide,Voltaire,eng,Intermediate,3.76,151471,genre fiction,8982.0,0.0,4.99,48,"Amazon Digital Services,  Inc.",1800
1975.0,Tuck Everlasting,Natalie Babbitt,eng,Intermediate,3.85,174280,nonfiction,3582.0,2149.2,1.99,48,"Amazon Digital Services,  Inc.",1800
1983.0,Christine,"Stephen King, Marie Milpois",fre,Intermediate,3.72,151160,nonfiction,1766.16,1059.696,0.99,49,"Amazon Digital Services,  Inc.",1784
1960.0,Are You My Mother?,P.D. Eastman,eng,Intermediate,4.16,174204,genre fiction,10596.31,6357.786,5.99,50,Penguin Group (USA) LLC,1769
1950.0,The Story of Art,E.H. Gombrich,en-US,Intermediate,3.83,164708,genre fiction,15058.27,9034.962,8.59,51,Hachette Book Group,1753
2013.0,Scarlet,Marissa Meyer,eng,Intermediate,4.3,193766,genre fiction,1720.62,1032.372,0.99,52,"Amazon Digital Services,  Inc.",1738
1997.0,"Rich Dad , Poor Dad",Robert T. Kiyosaki,eng,Intermediate,3.95,153764,genre fiction,1705.77,1023.462,0.99,53,Random House LLC,1723
2011.0,Silence ,Becca Fitzpatrick,eng,Intermediate,4.16,190722,genre fiction,8517.93,0.0,4.99,54,"Amazon Digital Services,  Inc.",1707
2009.0,The Magicians,Lev Grossman,eng,Novice,3.47,147908,genre fiction,1675.08,1005.048,0.99,55,Macmillan,1692
2004.0,ãƒ‡ã‚¹ãƒŽãƒ¼ãƒˆ #1 (Desu NÅto) Taikutsu (é€€å±ˆ),"Tsugumi Ohba, Takeshi Obata",eng,Famous,4.42,139501,genre fiction,6687.24,0.0,3.99,56,"Amazon Digital Services,  Inc.",1676
2003.0,A Great and Terrible Beauty,Libba Bray,eng,Intermediate,3.79,173613,genre fiction,4966.39,2979.834,2.99,57,Penguin Group (USA) LLC,1661
2002.0,Everything Is Illuminated,Jonathan Safran Foer,eng,Intermediate,3.9,131492,genre fiction,1629.54,977.724,0.99,58,"Amazon Digital Services,  Inc.",1646
1986.0,The Bourne Supremacy,Robert Ludlum,en-US,Intermediate,4.09,142168,genre fiction,17783.3,10669.98,10.91,59,Penguin Group (USA) LLC,1630
2012.0,Easy,Tammara Webber,en-CA,Intermediate,4.11,133937,genre fiction,1613.7,0.0,0.99,59,"Amazon Digital Services,  Inc.",1630
