title;author;year;language;category;avg_rating;ratings_count;page_count
Das Science Fiction Jahr 2024;Judith Vogt, Christian Vogt, Dietmar Dath, Lena Richter, Hans Esselborn, Simon Spiegel, Stephan Schulz, Karlheinz Steinmüller, Uwe Neuhold, Paul Trenton, Tamara Bodden, Christian Hoffmann, Wolfgang Both, Wolfgang Neuhaus, Erik Simon, Michael Wehren, Fritz Heidorn, Aiki Mira, Markus Tillmann, Kai U. Jürgens, Bernd Flessner, Thorsten Hanisch, Lisa Meinecke, Christian Endres, Dominik Irtenkauf, Peter Kempin, Gundula Sell, Alex Stoll, Ralf Lorenz, Yvonne Tunnat, Simon Weinert, Udo Klotz, Lutz Göllner, Matthias Hofmann, Johannes Hahn, Markus Mäurer, Heike Lindhold, Christian Pree;2024;de;Fiction;;;592
Das Science Fiction Jahr 2019;Melanie Wylutzki, Hardy Kettlitz;2020;de;Fiction;;;743
Auf zwei Planeten (Science-Fiction Klassiker);Kurd Laßwitz;2024;de;Fiction;;;757
4 Science Fiction Abenteuer Sonderband 1002;Alfred Bekker, David Wright O'Brien, Manfred Weinland, Carolina Möbis;2023;de;Fiction;;;568
1200 Seiten Weltraum-Abenteuer Mai 2022: Science Fiction Paket;Alfred Bekker;2022;de;Fiction;;;1382
Invasion der Vogelmenschen: Zwei Science Fiction Romane;Alfred Bekker, Luc Bahl;2023;de;Fiction;;;258
Horror Fiction;Gina Wisker;2005;en;Literary Criticism;;;308
Crime Fiction;John Scaggs;2005;en;Fiction;;;192
The Distinction of Fiction;Dorrit Cohn;2000;en;Literary Criticism;;;214
A Geography of Victorian Gothic Fiction;Robert Mighall;2003;en;History;;;344
Fan Fiction and Fan Communities in the Age of the Internet;Kristina Busse;2014;en;Literary Criticism;;;296
New Boundaries in Political Science Fiction;Donald M. Hassler, Clyde Wilcox;2008;en;Literary Criticism;;;382
The Postsouthern Sense of Place in Contemporary Fiction;Martyn Bone;2005;en;Literary Criticism;;;300
Discovering Fiction, An Introduction Teacher's Manual;Judith Kay, Kay Gelshenen, Karen McAlister Shimoda;2008;en;Fiction;;;84
Major Trends in the Post-independence Indian English Fiction;B. R. Agrawal, M. P. Sinha;2003;en;Indic fiction (English);;;300
The Columbia Guide to Contemporary African American Fiction;Darryl Dickson-Carr;2005;en;Literary Collections;;;292
Science Fiction and Philosophy;Susan Schneider;2009;en;Philosophy;4.0;2.0;361
The History of the Science-fiction Magazine;Michael Ashley, Mike Ashley;2000;en;Literary Criticism;5.0;1.0;316
The Reality - Fiction Opposition in Children's Literature;Adrian Zagler;2011;en;Language Arts & Disciplines;;;81
"Science Fiction Analysis: Philip K. Dick's ""Do Androids Dream of Electric Sheep?""";Michael Kratky;2007;en;Biography & Autobiography;;;25
"Love and Sexuality in Dystopian Fiction. An Analysis of ""Brave New World"" and ""Nineteen Eighty-Four""";Lena Gräf;2016;en;Literary Criticism;;;24
Best of Lem;Stanisław Lem;2021;de;Fiction;;;381
Marinka;Sophie Anderson;2018;de;;;;352
Fiction and Economy;Susan Bruce, Valeria Wagner;2007;en;Language Arts & Disciplines;;;216
Prentice Hall Literature Penguin Edition Teaching Resources Unit 1: Fiction and Nonfiction Grade 8 2007c;Prentice Hall (School Division);2005;en;Education;;;244
Undercover Robot – Mein erstes Jahr als Mensch;David Edmonds, Bertie Fraser;2021;de;Juvenile Fiction;5.0;1.0;208
Der Astronaut;Andy Weir;2021;de;Fiction;;;419
Ein Appartement in Paris;Michelle Gable;2017;de;Fiction;;;398
Der Junge aus dem Wald;Harlan Coben;2020;de;Fiction;3.0;1.0;396
Lightseekers;Femi Kayode;2022;de;Fiction;;;374
Light Years - Die Gefährten;Kass Morgan;2021;de;Fiction;;;302
Botschafter der Sterne;Baoshu;2021;de;Fiction;;;301
Harpercollins Book Of New Indian Fiction;Khushwant Singh;2005;en;Fiction;;;220
Die 100 - Die Saga in einem Band;Kass Morgan;2021;de;Fiction;;;944
Flavia de Luce 8 - Mord ist nicht das letzte Wort;Alan Bradley;2017;de;Fiction;;;247
Star WarsTM Dooku - Der verlorene Jedi;Cavan Scott;2021;de;Fiction;;;518
2004 Novel and Short Story Writer's Market;Anne Bowling, Michael Schweer, Vanessa Lyman;2003;en;Language Arts & Disciplines;;;694
Roboterland;Jenny Kleeman;2021;de;Social Science;;;281
Supernova;Cixin Liu;2021;de;Fiction;;;384
Star WarsTM - Das Alphabet-Geschwader;Alexander Freed;2021;de;Fiction;;;456
Star Wars Darth Vader - Vader;Kieron Gillen;2016;de;Comics & Graphic Novels;;;144
Hausbrand;Kamila Shamsie;2018;de;Fiction;;;253
Der größte Spaß, den wir je hatten;Claire Lombardo;2019;de;Fiction;4.5;2.0;655
Lanny;Max Porter;2019;de;Fiction;;;158
Wie Sterne am Himmel;;2020;de;Fiction;;;431
Wir brauchen neue Namen;NoViolet Bulawayo;2014;de;Fiction;;;213
Dame, König, As, Spion;John le Carré;2012;de;Fiction;;;440
Skyward - Der Ruf der Sterne;Brandon Sanderson;2021;de;Fiction;3.0;1.0;642
Wer zählt die Sterne;Lois Lowry;2005;en;;;;156
Der Sinn des Ganzen;Anne Tyler;2020;de;Fiction;;;167
Thrillers;John Fraser;2015;en;Literary Criticism;;;297
Bluthölle;Chris Carter;2020;de;Fiction;5.0;6.0;475
The Thriller;Gregory G. Sarno;2006;en;Performing Arts;;;480
Too Late;Colleen Hoover;2019;de;;;;400
The Tropoholic's Guide to Universal Thriller Tropes;Cindy Dees;2024;en;Reference;;;383
Wenn sie wüsste;Freida McFadden;2023;de;Fiction;;;307
Leben;Uwe Laub;2020;de;Fiction;;;321
Rachewinter;Andreas Gruber;2018;de;Fiction;4.0;2.0;478
DUNKEL;Ragnar Jónasson;2020;de;Fiction;4.0;8.0;244
The Unseen Wife (Barren Pines: Book 2);Kate Bold;2024;en;Fiction;;;221
The Unseen Woman (Barren Pines: Book 4);Kate Bold;2024;en;Fiction;;;211
The Oxford Handbook of Dance and the Popular Screen;Melissa Blanco Borelli;2014;en;Performing Arts;;;497
A Companion to Crime Fiction;Charles J. Rzepka, Lee Horsley;2020;en;Literary Criticism;;;648
Todeskind;Karen Rose;2013;de;Fiction;;;880
Film Genre for the Screenwriter;Jule Selbo;2014;en;Performing Arts;;;345
The Multi-Protagonist Film;María del Mar Azcona;2010;en;Performing Arts;;;174
History and Story in the American Political Thriller Film;Pablo Castrillo Maortua;2023;en;Performing Arts;;;293
Die Hatz;J.M. Peace;2017;de;Fiction;;;260
Where You Go (A Kelly Cruz Mystery—Book One);Rylie Dark;2023;en;Fiction;;;220
Understanding Competition and Diversity in Television Programming: Economic crisis & TV;Andreas Masouras;2015;en;Business & Economics;;;198
Genreflecting;Diana Tixier Herald, Samuel Stavole-Carter;2019;en;Language Arts & Disciplines;;;474
The Mystery Readers' Advisory;John Charles, Joanna Morrison, Candace Clark;2002;en;Language Arts & Disciplines;;;244
Billboard;;2009;en;;;;54
Where You Fear (A Kelly Cruz Mystery—Book Five);Rylie Dark;2024;en;Fiction;;;233
Internet Science;Svetlana S. Bodrunova;2018;en;Computers;;;321
Film and Suspense;Altan Löker;2005;en;Architecture;;;142
Driving With Music: Cognitive-Behavioural Implications;Dr Warren Brodsky;2015;en;Technology & Engineering;;;403
Alternative Scriptwriting;Ken Dancyger, Jeff Rush;2013;en;Performing Arts;;;480
The Anatomy of Genres;John Truby;2022;en;Language Arts & Disciplines;;;328
His Other Self (A Jessie Reach Mystery—Book Two);Rylie Dark;2024;en;Fiction;;;232
His Other Side (A Jessie Reach Mystery—Book One);Rylie Dark;2023;en;Fiction;;;229
Beyond Doubt (A Reese Link Mystery—Book Four);Molly Black;2023;en;Fiction;;;232
Science Fiction and Fantasy Literature;R. Reginald, Douglas Menville, Mary A. Burgess;2010;en;Reference;;;802
Crime Films;Thomas Leitch;2002;en;Performing Arts;3.0;1.0;404
Kaltblütige Lügen;Karen Rose;2023;de;Fiction;;;620
The Intellectual Devotional Modern Culture;David S. Kidder, Noah D. Oppenheim;2008;en;History;;;387
Defective Inspectors: Crime-fiction Pastiche in Late Twentieth-century French Literature;Simon Kemp;2017;en;Foreign Language Study;;;176
Getötet;Jim Ford;2015;de;Fiction;;;215
Irish Crime Fiction;Brian Cliff;2018;en;Literary Criticism;;;209
The Little Black Book of 80s Hits;Wise Publications;2012;en;Music;;;192
Killer Instinct;Joseph Finder;2007;en;Fiction;3.5;11.0;422
The Lies That Bind Us;Molly Black;2024;en;Fiction;;;279
Choose Your Quest To Survive the Sands of Arabia: An Epic Interactive Historical Novel with Multiple Endings;Dr. Rabea Hadi;2024;en;Fiction;;;218
The End of Meaning;Matthew Gumpert;2012;en;Literary Criticism;;;576
Puppentod;Katharina Winter;2010;de;Fiction;;;234
Nixenjagd;Susanne Mischke;2012;de;Juvenile Fiction;;;209
Der Finstermann: Thriller;Chris Karlden;2023;de;Fiction;;;294
The Sleepless Stars;CJ Lyons;2016;en;Fiction;;;347
Gone Dark;CJ Lyons;2017;en;Fiction;;;208
Young People, Stalking Awareness and Domestic Abuse;Maria Mellins, Rachael Wheatley, Caroline Flowers;2023;en;Social Science;;;307
Devil Smoke;CJ Lyons;2016;en;Fiction;;;290
The Narrative Reader;Martin McQuillan;2000;en;Aufsatzsammlung;2.5;3.0;370
Big History;David Christian;2018;de;History;;;537
Doing History;Sarah Willner, Georg Koch, Stefanie Samida;2016;de;History;;;272
Disability History;Elsbeth Bösl, Anne Klein, Anne Waldschmidt;2014;de;Social Science;;;259
Digital History;Karoline Dominika Döring, Stefan Haas, Mareike König, Jörg Wettlaufer;2022;de;History;;;370
Hosea and Salvation History;Dwight R. Daniels;2014;de;Religion;;;160
1973, Teil 2;Dieter Ziegler, Toni Pierenkemper, Werner Plumpe, Reinhard Spree, Carsten Burhop, Josef Ehmer, Rainer Fremdling, Peter Hertner, Alexander Nützenadel, Reinhold Reith, Bertram Schefold, Moritz Schularick, Jochen Streb, Hans-Michael Trautwein;2022;de;Technology & Engineering;;;308
History/Herstory;Annette Kreutziger-Herr, Katrin Losleben;2009;de;Music;;;452
Holocaust Oral History und das lange Ende der Zeitzeugenschaft;Jan Taubitz;2016;de;History;;;333
History für Eilige 2;Matthias von Hellfeld, Meike Rosenplänter, Markus Dichmann;2021;de;History;;;381
Visual History und Geschichtsdidaktik;Christoph Hamann;2017;de;Education;;;260
Amerikas ungeschriebene Geschichte;Oliver Stone, Peter Kuznick;2015;de;Political Science;;;339
"""The angel of history is looking back""";Bernd Neumann, Helgard Mahrdt, Martin Frank;2001;de;History;5.0;1.0;432
Einführung in die Public History;Martin Lücke, Irmgard Zündorf;2018;de;Education;;;209
5 Steps to a 5: AP U.S. History 2023 Elite Student Edition;Daniel P. Murphy;2022;en;Study Aids;;;787
Illinois History Teacher;;2006;en;Illinois;;;62
Journal of Illinois History;;2009;en;Illinois;;;88
Theatre History Studies 2014, Vol. 33;Elizabeth Reitz Mullenix;2014;en;Performing Arts;;;324
Die blaue Frau;Ulla Becker;2016;de;Fiction;;;50
Zarathustra und seine Religion;Michael Stausberg;2005;de;Iran;;;132
Geschichte Irans;Monika Gronke;2014;de;History;;;132
SAPIENS - Eine kurze Geschichte der Menschheit;Yuval Noah Harari;2024;de;History;;;533
