Publishing_Year,Author_Rating_Num,Average_Rating,Rating_Count,Gross_Sales_EUR,Publisher_Revenue_EUR,Adapted_to_Film,Genre_Adventure,Genre_Biography,Genre_Children’s,Genre_Classic,Genre_Dystopian,Genre_Fantasy,Genre_Fiction,Genre_Graphic Novel,Genre_Historical Fiction,Genre_Horror,Genre_Memoir,Genre_Mystery,Genre_Nonfiction,Genre_Philosophy,Genre_Politics,Genre_Romance,Genre_Satire,Genre_Science Fiction,Genre_Thriller,Genre_Young Adult
1925,2,3.98,131856,1202.85,0.0,1.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1925,2,3.78,136327,1174.1,704.46,1.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1926,4,4.2,71354,842240.0,505344.0,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1927,4,4.11,205807,833330.0,499998.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1927,2,3.76,83066,1144040.0,686424.0,1.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1928,4,4.36,69102,214.92,0.0,1.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1929,2,3.86,124665,2445.1,1467.06,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1930,4,4.15,82102,593.81,0.0,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1930,2,3.72,103547,461680.0,277008.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1930,2,3.92,58742,846940.0,508164.0,1.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1930,4,4.03,93963,669240.0,401544.0,1.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1931,4,4.14,102348,1864030.0,1118418.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1932,2,4.16,108124,1676.64,0.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1932,2,4.16,165127,697.95,418.77,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1933,2,3.83,79008,118.8,71.28,1.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1934,2,4.16,138444,3742.5,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1934,4,4.05,82706,349830.0,209898.0,1.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1935,2,4.18,195424,6897340.0,4138404.0,1.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1937,2,4.17,87445,702.9,0.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1937,4,4.19,74666,516660.0,309996.0,1.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1938,2,3.62,95620,1112.77,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
