title;author;year;language;category;avg_rating;ratings_count;page_count
Das Science Fiction Jahr 2024;Judith Vogt, Christian Vogt, Dietmar Dath, Lena Richter, Hans Esselborn, Simon Spiegel, Stephan Schulz, Karlheinz Steinmüller, Uwe Neuhold, Paul Trenton, Tamara Bodden, Christian Hoffmann, Wolfgang Both, Wolfgang Neuhaus, Erik Simon, Michael Wehren, Fritz Heidorn, Aiki Mira, Markus Tillmann, Kai U. Jürgens, Bernd Flessner, Thorsten Hanisch, Lisa Meinecke, Christian Endres, Dominik Irtenkauf, Peter Kempin, Gundula Sell, Alex Stoll, Ralf Lorenz, Yvonne Tunnat, Simon Weinert, Udo Klotz, Lutz Göllner, Matthias Hofmann, Johannes Hahn, Markus Mäurer, Heike Lindhold, Christian Pree;2024;de;Fiction;;;592
Das Science Fiction Jahr 2019;Melanie Wylutzki, Hardy Kettlitz;2020;de;Fiction;;;743
Auf zwei Planeten (Science-Fiction Klassiker);Kurd Laßwitz;2024;de;Fiction;;;757
4 Science Fiction Abenteuer Sonderband 1002;Alfred Bekker, David Wright O'Brien, Manfred Weinland, Carolina Möbis;2023;de;Fiction;;;568
1200 Seiten Weltraum-Abenteuer Mai 2022: Science Fiction Paket;Alfred Bekker;2022;de;Fiction;;;1382
Invasion der Vogelmenschen: Zwei Science Fiction Romane;Alfred Bekker, Luc Bahl;2023;de;Fiction;;;258
Horror Fiction;Gina Wisker;2005;en;Literary Criticism;;;308
Crime Fiction;John Scaggs;2005;en;Fiction;;;192
The Distinction of Fiction;Dorrit Cohn;2000;en;Literary Criticism;;;214
A Geography of Victorian Gothic Fiction;Robert Mighall;2003;en;History;;;344
Fan Fiction and Fan Communities in the Age of the Internet;Kristina Busse;2014;en;Literary Criticism;;;296
New Boundaries in Political Science Fiction;Donald M. Hassler, Clyde Wilcox;2008;en;Literary Criticism;;;382
The Postsouthern Sense of Place in Contemporary Fiction;Martyn Bone;2005;en;Literary Criticism;;;300
Discovering Fiction, An Introduction Teacher's Manual;Judith Kay, Kay Gelshenen, Karen McAlister Shimoda;2008;en;Fiction;;;84
Major Trends in the Post-independence Indian English Fiction;B. R. Agrawal, M. P. Sinha;2003;en;Indic fiction (English);;;300
The Columbia Guide to Contemporary African American Fiction;Darryl Dickson-Carr;2005;en;Literary Collections;;;292
Science Fiction and Philosophy;Susan Schneider;2009;en;Philosophy;4.0;2.0;361
The History of the Science-fiction Magazine;Michael Ashley, Mike Ashley;2000;en;Literary Criticism;5.0;1.0;316
The Reality - Fiction Opposition in Children's Literature;Adrian Zagler;2011;en;Language Arts & Disciplines;;;81
"Science Fiction Analysis: Philip K. Dick's ""Do Androids Dream of Electric Sheep?""";Michael Kratky;2007;en;Biography & Autobiography;;;25
"Love and Sexuality in Dystopian Fiction. An Analysis of ""Brave New World"" and ""Nineteen Eighty-Four""";Lena Gräf;2016;en;Literary Criticism;;;24
Daisy Jones and The Six;Taylor Jenkins Reid;2020;de;Fiction;5.0;1.0;451
Fiction and Economy;Susan Bruce, Valeria Wagner;2007;en;Language Arts & Disciplines;;;216
Prentice Hall Literature Penguin Edition Teaching Resources Unit 1: Fiction and Nonfiction Grade 8 2007c;Prentice Hall (School Division);2005;en;Education;;;244
Best of Lem;Stanisław Lem;2021;de;Fiction;;;381
Wenn du zurückkehrst;Nicholas Sparks;2020;de;Fiction;;;282
Ocean State;Stewart O′Nan;2022;de;Fiction;;;313
Undercover Robot – Mein erstes Jahr als Mensch;David Edmonds, Bertie Fraser;2021;de;Juvenile Fiction;5.0;1.0;208
Harpercollins Book Of New Indian Fiction;Khushwant Singh;2005;en;Fiction;;;220
Der Junge aus dem Wald;Harlan Coben;2020;de;Fiction;3.0;1.0;396
2004 Novel and Short Story Writer's Market;Anne Bowling, Michael Schweer, Vanessa Lyman;2003;en;Language Arts & Disciplines;;;694
Ein Appartement in Paris;Michelle Gable;2017;de;Fiction;;;398
Light Years - Die Gefährten;Kass Morgan;2021;de;Fiction;;;302
Der Astronaut;Andy Weir;2021;de;Fiction;;;419
Botschafter der Sterne;Baoshu;2021;de;Fiction;;;301
Die 100 - Die Saga in einem Band;Kass Morgan;2021;de;Fiction;;;944
Star WarsTM Dooku - Der verlorene Jedi;Cavan Scott;2021;de;Fiction;;;518
Das Haus der tausend Räume;Diana Wynne Jones;2021;de;Fiction;;;295
Star Wars Darth Vader - Vader;Kieron Gillen;2016;de;Comics & Graphic Novels;;;144
Wir brauchen neue Namen;NoViolet Bulawayo;2014;de;Fiction;;;213
Thrillers;John Fraser;2015;en;Literary Criticism;;;297
Bluthölle;Chris Carter;2020;de;Fiction;5.0;6.0;475
The Thriller;Gregory G. Sarno;2006;en;Performing Arts;;;480
Wenn sie wüsste;Freida McFadden;2023;de;Fiction;;;307
Todeskind;Karen Rose;2013;de;Fiction;;;880
Eisrosensommer;Ulrike Bliefert;2012;de;Juvenile Fiction;;;161
Operation Jerusalem;Jörg H. Trauboth;2019;en;;;;394
The Tropoholic's Guide to Universal Thriller Tropes;Cindy Dees;2024;en;Reference;;;383
The Weekend Away;Sarah Alderson;2022;de;Fiction;;;344
Die Hatz;J.M. Peace;2017;de;Fiction;;;260
Neuschnee;Lucy Foley;2019;de;Fiction;3.0;1.0;301
Glühende Angst;Rick Mofina;2024;de;Fiction;;;308
Der Dieb der Finsternis;Richard Doetsch;2022;de;Fiction;;;604
The Unseen Woman (Barren Pines: Book 4);Kate Bold;2024;en;Fiction;;;211
The Unseen Wife (Barren Pines: Book 2);Kate Bold;2024;en;Fiction;;;221
The Oxford Handbook of Dance and the Popular Screen;Melissa Blanco Borelli;2014;en;Performing Arts;;;497
A Companion to Crime Fiction;Charles J. Rzepka, Lee Horsley;2020;en;Literary Criticism;;;648
Ein anderer Weg nach Hause;C. MARTEN-ZERF;2024;de;Fiction;;;0
Film Genre for the Screenwriter;Jule Selbo;2014;en;Performing Arts;;;345
The Multi-Protagonist Film;María del Mar Azcona;2010;en;Performing Arts;;;174
History and Story in the American Political Thriller Film;Pablo Castrillo Maortua;2023;en;Performing Arts;;;293
Where You Go (A Kelly Cruz Mystery—Book One);Rylie Dark;2023;en;Fiction;;;220
Understanding Competition and Diversity in Television Programming: Economic crisis & TV;Andreas Masouras;2015;en;Business & Economics;;;198
Genreflecting;Diana Tixier Herald, Samuel Stavole-Carter;2019;en;Language Arts & Disciplines;;;474
The Mystery Readers' Advisory;John Charles, Joanna Morrison, Candace Clark;2002;en;Language Arts & Disciplines;;;244
Der Schmerzkünstler (Ein Lukas-Sontheim-Thriller 1);Frank Esser;2022;de;Fiction;;;206
Where You Fear (A Kelly Cruz Mystery—Book Five);Rylie Dark;2024;en;Fiction;;;233
The Anatomy of Genres;John Truby;2022;en;Language Arts & Disciplines;;;328
Science Fiction and Fantasy Literature;R. Reginald, Douglas Menville, Mary A. Burgess;2010;en;Reference;;;802
Alternative Scriptwriting;Ken Dancyger, Jeff Rush;2013;en;Performing Arts;;;480
Beyond Doubt (A Reese Link Mystery—Book Four);Molly Black;2023;en;Fiction;;;232
Driving With Music: Cognitive-Behavioural Implications;Dr Warren Brodsky;2015;en;Technology & Engineering;;;403
His Other Side (A Jessie Reach Mystery—Book One);Rylie Dark;2023;en;Fiction;;;229
Getötet;Jim Ford;2015;de;Fiction;;;215
Storizen Magazine October 2019 | A Thriller Writer at Heart - Kanchana Banerjee;Saurabh Chawla, Pria Raiyani;2019;en;Literary Collections;;;74
Billboard;;2009;en;;;;54
Kaltblütige Lügen;Karen Rose;2023;de;Fiction;;;620
Targeting Media;Annemarie Lopez;2000;en;Language Arts & Disciplines;;;152
The Intellectual Devotional Modern Culture;David S. Kidder, Noah D. Oppenheim;2008;en;History;;;387
Nixenjagd;Susanne Mischke;2012;de;Juvenile Fiction;;;209
Defective Inspectors: Crime-fiction Pastiche in Late Twentieth-century French Literature;Simon Kemp;2017;en;Foreign Language Study;;;176
Puppentod;Katharina Winter;2010;de;Fiction;;;234
Irish Crime Fiction;Brian Cliff;2018;en;Literary Criticism;;;209
The End of Meaning;Matthew Gumpert;2012;en;Literary Criticism;;;576
Killer Instinct;Joseph Finder;2007;en;Fiction;3.5;11.0;422
The Lies That Bind Us;Molly Black;2024;en;Fiction;;;279
The Little Black Book of 80s Hits;Wise Publications;2012;en;Music;;;192
Die Physikerin;Moritz Hirche;2017;de;;;;793
Der Finstermann: Thriller;Chris Karlden;2023;de;Fiction;;;294
Verzeihe Nie (Ein spannungsgeladener May Moore Thriller - Band 5);Blake Pierce;2024;de;Fiction;;;253
Devil Smoke;CJ Lyons;2016;en;Fiction;;;290
The Sleepless Stars;CJ Lyons;2016;en;Fiction;;;347
Gone Dark;CJ Lyons;2017;en;Fiction;;;208
Young People, Stalking Awareness and Domestic Abuse;Maria Mellins, Rachael Wheatley, Caroline Flowers;2023;en;Social Science;;;307
The Narrative Reader;Martin McQuillan;2000;en;Aufsatzsammlung;2.5;3.0;370
Cinematic Emotion in Horror Films and Thrillers;Julian Hanich;2011;en;Social Science;;;633
Qube;Tom Hillenbrand;2020;de;Fiction;3.0;5.0;535
Fly By Night;Steven Chain;2022;en;Performing Arts;;;562
Sally Potter;Catherine Fowler;2010;en;Performing Arts;;;170
The Screenwriter's Path;Diane Lake;2016;en;Art;;;198
Christianity;Ivan King, christianity;2017;en;Religion;;;41
The History of R & B and Soul Music;Stuart A. Kallen;2013;en;Young Adult Nonfiction;;;130
Bestsellers;Ivan King, Bestsellers;2017;en;Young Adult Fiction;;;49
Good and Valuable Consideration;Lee Child, Joseph Finder;2015;en;Fiction;;;28
Youth Books;Ivan King, young books;2017;en;Bibles;;;70
Target Nine (The Spy Game—Book #9);Jack Mars;2024;en;Fiction;;;245
Disability History;Elsbeth Bösl, Anne Klein, Anne Waldschmidt;2014;de;Social Science;;;259
Hosea and Salvation History;Dwight R. Daniels;2014;de;Religion;;;160
1973, Teil 2;Dieter Ziegler, Toni Pierenkemper, Werner Plumpe, Reinhard Spree, Carsten Burhop, Josef Ehmer, Rainer Fremdling, Peter Hertner, Alexander Nützenadel, Reinhold Reith, Bertram Schefold, Moritz Schularick, Jochen Streb, Hans-Michael Trautwein;2022;de;Technology & Engineering;;;308
History/Herstory;Annette Kreutziger-Herr, Katrin Losleben;2009;de;Music;;;452
Digital History;Karoline Dominika Döring, Stefan Haas, Mareike König, Jörg Wettlaufer;2022;de;History;;;370
Doing History;Sarah Willner, Georg Koch, Stefanie Samida;2016;de;History;;;272
Holocaust Oral History und das lange Ende der Zeitzeugenschaft;Jan Taubitz;2016;de;History;;;333
History für Eilige 2;Matthias von Hellfeld, Meike Rosenplänter, Markus Dichmann;2021;de;History;;;382
Visual History und Geschichtsdidaktik;Christoph Hamann;2017;de;Education;;;260
THE LASH HISTORY;Nicole Bassitta;2022;de;Health & Fitness;;;116
Annals of the History and Philosophy of Biology 10/2005;;2006;en;;;;213
Visualizing Medieval Medicine and Natural History, 1200-1550;Jean Ann Givens, Karen Reeds, Alain Touwaide;2006;en;History;;;316
Big History;David Christian;2018;de;History;;;537
"""The angel of history is looking back""";Bernd Neumann, Helgard Mahrdt, Martin Frank;2001;de;History;5.0;1.0;432
Das verlorene Paradies;Mark Greengrass;2018;de;History;;;799
5 Steps to a 5: AP U.S. History 2023 Elite Student Edition;Daniel P. Murphy;2022;en;Study Aids;;;787
Illinois History Teacher;;2006;en;Illinois;;;62
Die Reformation;Diarmaid MacCulloch, Bernd Leineweber, Helke Voß-Becher;2010;en;Reformation;;;1021
Journal of Illinois History;;2009;en;Illinois;;;88
Theatre History Studies 2014, Vol. 33;Elizabeth Reitz Mullenix;2014;en;Performing Arts;;;324
Leben mit den Göttern;Neil MacGregor;2018;de;Religion;;;634
